rank_by_self_time,category,category_basis,filename,first_line,function,primitive_calls,total_calls,self_seconds,cumulative_seconds
1,evaluator/cache-loop residual,residual by subtraction,src/layerprobe/evaluator.py,401,_memoized_agent_traces,42176,42176,21.510673500000003,106.4048844
2,observation,named project function,src/layerprobe/mechanics.py,134,_raw_observation,3382177,3382177,10.1490883,15.254309800000001
3,transition/terminal,named project function,src/layerprobe/mechanics.py,63,transition,3255802,3255802,8.432955,16.9070629
4,evaluator/cache-loop residual,residual by subtraction,~,0,<built-in method builtins.max>,16953545,16953545,6.5592091,6.5592091
5,observation,named project function,src/layerprobe/mechanics.py,148,observe,3382177,3382177,5.9933379,24.1882661
6,transition/terminal,named project function,src/layerprobe/mechanics.py,51,terminal_status,13937953,13937953,5.9058212,5.9058212
7,evaluator/cache-loop residual,residual by subtraction,~,0,<method 'get' of 'dict' objects>,3382179,3382179,5.2357582,12.022020300000001
8,policy/memory,named project function,src/layerprobe/mechanics.py,208,advance_belief,2288074,2288074,5.1800614000000005,9.8939033
9,evaluator/cache-loop residual,residual by subtraction,~,0,<built-in method builtins.hash>,13178785,13178785,3.8810561000000003,3.8810561000000003
10,policy/memory,named project function,src/layerprobe/mechanics.py,173,ingest,2288074,2288074,3.5191992,6.821588200000001
11,mechanism validation,named project function,src/layerprobe/mechanics.py,82,verify_kernel,24624,24624,3.3465296,11.7275991
12,evaluator/cache-loop residual,residual by subtraction,<string>,2,__hash__,5670251,5670251,3.2249293000000003,4.9194106
13,policy/memory,named project function,src/layerprobe/mechanics.py,193,choose_action,2288074,2288074,2.5462723,6.8641775
14,observation,named project function,src/layerprobe/mechanics.py,126,_encode,6764354,6764354,2.2223883,2.2223883
15,policy/memory,named project function,src/layerprobe/mechanics.py,182,stopping_distance,1152352,1152352,1.9763060000000001,3.204873
16,observation,named project function,src/layerprobe/model.py,54,validate,3382177,3382177,1.8351391000000001,1.8351391000000001
17,evaluator/cache-loop residual,residual by subtraction,~,0,<method 'append' of 'list' objects>,3392722,3392722,1.3243252,1.3243252
18,evaluator/cache-loop residual,residual by subtraction,src/layerprobe/evaluator.py,451,_factorized_kernel_group,24624,24624,1.1655531000000001,120.18980680000001
19,transition/terminal,named project function,src/layerprobe/mechanics.py,42,initial_state,783792,783792,1.1551971,2.5958783000000003
20,policy/memory,named project function,src/layerprobe/mechanics.py,166,initial_agent_memory,759168,759168,0.9825131,2.0297544000000003
21,aggregation/digest,named project function,src/layerprobe/evaluator.py,65,signature_for,189792,189792,0.7919189000000001,0.7919189000000001
22,evaluator/cache-loop residual,residual by subtraction,~,0,<method 'add' of 'set' objects>,845931,845931,0.6762112,1.391412
23,evaluator/cache-loop residual,residual by subtraction,<string>,2,__eq__,593781,593781,0.3544798,0.3544798
24,evaluator/cache-loop residual,residual by subtraction,~,0,<method 'append' of 'collections.deque' objects>,845931,845931,0.2862148,0.2862148
25,evaluator/cache-loop residual,residual by subtraction,src/layerprobe/evaluator.py,481,run_factorized,1,1,0.27961430000000004,120.8281422
26,evaluator/cache-loop residual,residual by subtraction,~,0,<method 'popleft' of 'collections.deque' objects>,870555,870555,0.2573933,0.2573933
27,aggregation/digest,named project function,src/layerprobe/evaluator.py,73,reduce_signature_frontier,1,1,0.1105874,0.1825493
28,aggregation/digest,named project function,src/layerprobe/model.py,96,add,66800,66800,0.08379800000000001,0.08379800000000001
29,aggregation/digest,named project function,src/layerprobe/evaluator.py,112,_finish,1,1,0.06408520000000001,0.2690823
30,evaluator/cache-loop residual,residual by subtraction,~,0,<method 'setdefault' of 'dict' objects>,185358,185358,0.052062500000000005,0.052062500000000005
31,evaluator/cache-loop residual,residual by subtraction,~,0,<built-in method builtins.sorted>,7,7,0.044731,0.0447537
32,evaluator/cache-loop residual,residual by subtraction,~,0,<method 'update' of 'dict' objects>,10544,10544,0.0405125,0.0405125
33,evaluator/cache-loop residual,residual by subtraction,<string>,2,__init__,66801,66801,0.0328455,0.0328455
34,evaluator/cache-loop residual,residual by subtraction,~,0,<method 'items' of 'dict' objects>,42180,42180,0.026320700000000002,0.026320700000000002
35,mechanism validation,named project function,src/layerprobe/model.py,28,validate,24624,24624,0.021630100000000003,0.021630100000000003
36,evaluator/cache-loop residual,residual by subtraction,~,0,<built-in method builtins.len>,24625,24625,0.011286200000000001,0.011286200000000001
37,evaluator/cache-loop residual,residual by subtraction,src/layerprobe/evaluator.py,492,<genexpr>,24625,24625,0.0107355,0.0107355
38,evaluator/cache-loop residual,residual by subtraction,src/layerprobe/mechanics.py,37,valid,24624,24624,0.0098782,0.0098782
39,evaluator/cache-loop residual,residual by subtraction,~,0,<method 'disable' of '_lsprof.Profiler' objects>,1,1,3.6700000000000004e-05,3.6700000000000004e-05
40,evaluator/cache-loop residual,residual by subtraction,src/layerprobe/evaluator.py,83,<lambda>,11,11,1.81e-05,2.18e-05
41,evaluator/cache-loop residual,residual by subtraction,src/layerprobe/evaluator.py,84,<genexpr>,21,21,1e-05,1e-05
42,aggregation/digest,named project function,src/layerprobe/evaluator.py,95,minimum_cover,1,1,8.7e-06,1.25e-05
43,evaluator/cache-loop residual,residual by subtraction,~,0,<built-in method builtins.any>,11,11,7.7e-06,1.1700000000000001e-05
44,aggregation/digest,named project function,src/layerprobe/model.py,106,as_dict,1,1,4.6e-06,4.6e-06
45,evaluator/cache-loop residual,residual by subtraction,~,0,<method 'bit_count' of 'int' objects>,11,11,3.7e-06,3.7e-06
46,evaluator/cache-loop residual,residual by subtraction,src/layerprobe/evaluator.py,91,<lambda>,1,1,9.000000000000001e-07,9.000000000000001e-07
