job_id,study,case,repeat,order_index,method,workers,kernel_count,kernel_selection,presentation_count,presentation_set,elapsed_s,worker_slot_s,peak_process_tree_rss_mb,digest,valid_kernels,candidates,frontier,suite_size,graph_builds,graph_states,graph_transitions,observation_calls,policy_calls,transition_calls,prefix_groups,completed_at
gate-k100-p2-flat-w1,correctness_gate,100k_2p,0,0,flat,1,100,stratified_midpoint,2,view_04_exact_hidden_d0|view_13_hidden_exact_d1,0.08110779999969964,0.08110779999969964,46.6171875,5a22a63bd7e0f77007cc7631cef2e411f42a0a2350f0bcb390a278225416c8bf,51,102,1,1,200,7866,8716,1886,1886,1886,0,2026-07-23T23:38:06.157401+08:00
gate-k100-p2-kernel_memo-w1,correctness_gate,100k_2p,0,1,kernel_memo,1,100,stratified_midpoint,2,view_04_exact_hidden_d0|view_13_hidden_exact_d1,0.049286100000244915,0.049286100000244915,46.6875,5a22a63bd7e0f77007cc7631cef2e411f42a0a2350f0bcb390a278225416c8bf,51,102,1,1,100,3933,4358,1886,1886,1886,0,2026-07-23T23:38:06.374277+08:00
gate-k100-p2-kernel_memo_parallel-w8,correctness_gate,100k_2p,0,2,kernel_memo_parallel,8,100,stratified_midpoint,2,view_04_exact_hidden_d0|view_13_hidden_exact_d1,0.42850989999988087,3.428079199999047,244.37109375,5a22a63bd7e0f77007cc7631cef2e411f42a0a2350f0bcb390a278225416c8bf,51,102,1,1,100,3933,4358,1886,1886,1886,0,2026-07-23T23:38:06.979930+08:00
gate-k100-p2-factorized-w1,correctness_gate,100k_2p,0,3,factorized,1,100,stratified_midpoint,2,view_04_exact_hidden_d0|view_13_hidden_exact_d1,0.05541940000057366,0.05541940000057366,46.6953125,5a22a63bd7e0f77007cc7631cef2e411f42a0a2350f0bcb390a278225416c8bf,51,102,1,1,100,3933,4358,1886,1886,1886,1886,2026-07-23T23:38:07.219793+08:00
gate-k100-p2-factorized-w2,correctness_gate,100k_2p,0,4,factorized,2,100,stratified_midpoint,2,view_04_exact_hidden_d0|view_13_hidden_exact_d1,0.35904110000046785,0.7180822000009357,95.9296875,5a22a63bd7e0f77007cc7631cef2e411f42a0a2350f0bcb390a278225416c8bf,51,102,1,1,100,3933,4358,1886,1886,1886,1886,2026-07-23T23:38:07.755485+08:00
gate-k100-p2-factorized-w4,correctness_gate,100k_2p,0,5,factorized,4,100,stratified_midpoint,2,view_04_exact_hidden_d0|view_13_hidden_exact_d1,0.3574319999997897,1.4297279999991588,138.8828125,5a22a63bd7e0f77007cc7631cef2e411f42a0a2350f0bcb390a278225416c8bf,51,102,1,1,100,3933,4358,1886,1886,1886,1886,2026-07-23T23:38:08.313167+08:00
gate-k100-p2-factorized-w6,correctness_gate,100k_2p,0,6,factorized,6,100,stratified_midpoint,2,view_04_exact_hidden_d0|view_13_hidden_exact_d1,0.3849763999996867,2.30985839999812,187.4453125,5a22a63bd7e0f77007cc7631cef2e411f42a0a2350f0bcb390a278225416c8bf,51,102,1,1,100,3933,4358,1886,1886,1886,1886,2026-07-23T23:38:08.858868+08:00
gate-k100-p2-factorized-w8,correctness_gate,100k_2p,0,7,factorized,8,100,stratified_midpoint,2,view_04_exact_hidden_d0|view_13_hidden_exact_d1,0.4433877000001303,3.5471016000010422,240.76171875,5a22a63bd7e0f77007cc7631cef2e411f42a0a2350f0bcb390a278225416c8bf,51,102,1,1,100,3933,4358,1886,1886,1886,1886,2026-07-23T23:38:09.456528+08:00
gate-k100-p2-factorized-w12,correctness_gate,100k_2p,0,8,factorized,12,100,stratified_midpoint,2,view_04_exact_hidden_d0|view_13_hidden_exact_d1,0.45355120000022,5.44261440000264,326.85546875,5a22a63bd7e0f77007cc7631cef2e411f42a0a2350f0bcb390a278225416c8bf,51,102,1,1,100,3933,4358,1886,1886,1886,1886,2026-07-23T23:38:10.068284+08:00
gate-k100-p2-factorized-w16,correctness_gate,100k_2p,0,9,factorized,16,100,stratified_midpoint,2,view_04_exact_hidden_d0|view_13_hidden_exact_d1,0.6614216999996643,10.582747199994628,441.68359375,5a22a63bd7e0f77007cc7631cef2e411f42a0a2350f0bcb390a278225416c8bf,51,102,1,1,100,3933,4358,1886,1886,1886,1886,2026-07-23T23:38:10.882940+08:00
