presentation,speed_mode,distance_mode,delay,candidates_compared,changed_candidates,unchanged_candidates,change_rate,pair_bit_flips
view_00_exact_exact_d0,exact,exact,0,10544,319,10225,0.030254172989,596
view_01_exact_exact_d1,exact,exact,1,10544,0,10544,0.000000000000,0
view_02_exact_coarse_d0,exact,coarse,0,10544,228,10316,0.021623672231,465
view_03_exact_coarse_d1,exact,coarse,1,10544,0,10544,0.000000000000,0
view_04_exact_hidden_d0,exact,hidden,0,10544,0,10544,0.000000000000,0
view_05_exact_hidden_d1,exact,hidden,1,10544,0,10544,0.000000000000,0
view_06_coarse_exact_d0,coarse,exact,0,10544,292,10252,0.027693474962,557
view_07_coarse_exact_d1,coarse,exact,1,10544,0,10544,0.000000000000,0
view_08_coarse_coarse_d0,coarse,coarse,0,10544,246,10298,0.023330804249,489
view_09_coarse_coarse_d1,coarse,coarse,1,10544,0,10544,0.000000000000,0
view_10_coarse_hidden_d0,coarse,hidden,0,10544,0,10544,0.000000000000,0
view_11_coarse_hidden_d1,coarse,hidden,1,10544,0,10544,0.000000000000,0
view_12_hidden_exact_d0,hidden,exact,0,10544,1230,9314,0.116654021244,1830
view_13_hidden_exact_d1,hidden,exact,1,10544,42,10502,0.003983308042,45
view_14_hidden_coarse_d0,hidden,coarse,0,10544,629,9915,0.059654779970,940
view_15_hidden_coarse_d1,hidden,coarse,1,10544,0,10544,0.000000000000,0
view_16_hidden_hidden_d0,hidden,hidden,0,10544,0,10544,0.000000000000,0
view_17_hidden_hidden_d1,hidden,hidden,1,10544,0,10544,0.000000000000,0
