mechanism_index,mechanism_name,well_formed,reachable,shortest_win,graph_states,graph_transitions,verification_equal,eligible,candidate_count,full_canonical_trace_differences,full_canonical_cache_hits,full_canonical_cache_misses,full_reverse_trace_differences,full_reverse_cache_hits,full_reverse_cache_misses,drop_state_canonical_witness,drop_state_reverse_witness,drop_memory_canonical_witness,drop_memory_reverse_witness,drop_observation_canonical_witness,drop_observation_reverse_witness
0,grid_0000_n5_north_west_south_east_h0_open_t12,1,1,10,621,2080,1,1,18,0,415,421,0,415,421,1,1,1,1,1,1
1,grid_0001_n5_north_west_south_east_h0_open_t14,1,1,10,817,2848,1,1,18,0,461,475,0,461,475,1,1,1,1,1,1
2,grid_0002_n5_north_west_south_east_h0_open_t16,1,1,10,1013,3616,1,1,18,0,507,522,0,507,522,1,1,1,1,1,1
3,grid_0003_n5_north_west_south_east_h0_open_t18,1,1,10,1209,4384,1,1,18,0,553,568,0,553,568,1,1,1,1,1,1
4,grid_0004_n5_north_west_south_east_h0_gate_t12,1,1,12,394,1280,1,1,18,0,430,434,0,430,434,1,1,1,1,1,1
5,grid_0005_n5_north_west_south_east_h0_gate_t14,1,1,12,557,1888,1,1,18,0,482,525,0,482,525,1,1,1,1,1,1
6,grid_0006_n5_north_west_south_east_h0_gate_t16,1,1,12,721,2528,1,1,18,0,534,615,0,534,615,1,1,1,1,1,1
7,grid_0007_n5_north_west_south_east_h0_gate_t18,1,1,12,885,3168,1,1,18,0,586,705,0,586,705,1,1,1,1,1,1
8,grid_0008_n5_north_west_south_east_h0_staggered_t12,1,1,10,513,1696,1,1,18,0,422,414,0,422,414,1,1,1,1,1,1
9,grid_0009_n5_north_west_south_east_h0_staggered_t14,1,1,10,685,2368,1,1,18,0,470,468,0,470,468,1,1,1,1,1,1
10,grid_0010_n5_north_west_south_east_h0_staggered_t16,1,1,10,857,3040,1,1,18,0,518,517,0,518,517,1,1,1,1,1,1
11,grid_0011_n5_north_west_south_east_h0_staggered_t18,1,1,10,1029,3712,1,1,18,0,564,567,0,564,567,1,1,1,1,1,1
12,grid_0012_n5_north_west_south_east_h1_open_t12,1,1,9,715,2448,1,1,18,0,380,436,0,380,436,1,1,1,1,1,1
13,grid_0013_n5_north_west_south_east_h1_open_t14,1,1,9,911,3216,1,1,18,0,426,492,0,426,492,1,1,1,1,1,1
14,grid_0014_n5_north_west_south_east_h1_open_t16,1,1,9,1107,3984,1,1,18,0,472,543,0,472,543,1,1,1,1,1,1
15,grid_0015_n5_north_west_south_east_h1_open_t18,1,1,9,1303,4752,1,1,18,0,514,594,0,514,594,1,1,1,1,1,1
16,grid_0016_n5_north_west_south_east_h1_gate_t12,1,1,11,471,1556,1,1,18,0,395,469,0,395,469,1,1,1,1,1,1
17,grid_0017_n5_north_west_south_east_h1_gate_t14,1,1,11,635,2192,1,1,18,0,445,563,0,445,563,1,1,1,1,1,1
18,grid_0018_n5_north_west_south_east_h1_gate_t16,1,1,11,799,2832,1,1,18,0,495,657,0,495,657,1,1,1,1,1,1
19,grid_0019_n5_north_west_south_east_h1_gate_t18,1,1,11,963,3472,1,1,18,0,545,751,0,545,751,1,1,1,1,1,1
20,grid_0020_n5_north_west_south_east_h1_staggered_t12,1,1,9,595,2016,1,1,18,0,391,425,0,391,425,1,1,1,1,1,1
21,grid_0021_n5_north_west_south_east_h1_staggered_t14,1,1,9,767,2688,1,1,18,0,441,478,0,441,478,1,1,1,1,1,1
22,grid_0022_n5_north_west_south_east_h1_staggered_t16,1,1,9,939,3360,1,1,18,0,489,529,0,489,529,1,1,1,1,1,1
23,grid_0023_n5_north_west_south_east_h1_staggered_t18,1,1,9,1111,4032,1,1,18,0,537,577,0,537,577,1,1,1,1,1,1
24,grid_0024_n5_north_west_south_east_h2_open_t12,1,1,9,715,2448,1,1,18,0,373,445,0,373,445,1,1,1,1,1,1
25,grid_0025_n5_north_west_south_east_h2_open_t14,1,1,9,911,3216,1,1,18,0,415,506,0,415,506,1,1,1,1,1,1
26,grid_0026_n5_north_west_south_east_h2_open_t16,1,1,9,1107,3984,1,1,18,0,457,560,0,457,560,1,1,1,1,1,1
27,grid_0027_n5_north_west_south_east_h2_open_t18,1,1,9,1303,4752,1,1,18,0,494,617,0,494,617,1,1,1,1,1,1
28,grid_0028_n5_north_west_south_east_h2_gate_t12,1,1,10,525,1760,1,1,18,0,388,476,0,388,476,1,1,1,1,1,1
29,grid_0029_n5_north_west_south_east_h2_gate_t14,1,1,10,689,2400,1,1,18,0,436,572,0,436,572,1,1,1,1,1,1
30,grid_0030_n5_north_west_south_east_h2_gate_t16,1,1,10,853,3040,1,1,18,0,484,668,0,484,668,1,1,1,1,1,1
31,grid_0031_n5_north_west_south_east_h2_gate_t18,1,1,10,1017,3680,1,1,18,0,527,769,0,527,769,1,1,1,1,1,1
32,grid_0032_n5_north_west_south_east_h2_staggered_t12,1,1,9,611,2080,1,1,18,0,383,436,0,383,436,1,1,1,1,1,1
