factor,level,level_order,definition,requested_kernels,valid_kernels,validity_rate,robust_nonzero_kernels,robust_nonzero_rate,robust_full_kernels,robust_full_rate,mean_robust_pairs,mean_union_pairs,mean_presentation_gap,mean_delay_delta,delay_positive_kernels,delay_positive_rate,delay_zero_kernels,delay_zero_rate,delay_negative_kernels,delay_negative_rate,reference_friction_blind_candidate_rate,reference_friction_blind_robust_rate
friction,0,0,friction == 0,8208,5094,0.6206140350877193,4584,0.8998822143698468,0,0.0,2.9756576364350216,4.998233215547703,2.0225755791126816,-0.15416830257819658,525,0.10306242638398115,2706,0.5312131919905771,1863,0.3657243816254417,0.0,0.0
friction,1,1,friction == 1,8208,3521,0.4289717348927875,3275,0.930133484805453,0,0.0,3.1962510650383416,5.936949730190287,2.7406986651519456,-0.2814225756571681,542,0.15393354160749786,465,0.13206475433115591,2514,0.7140017040613462,0.6565527470100034,0.3098551547855723
friction,2,2,friction == 2,8208,1929,0.23501461988304093,1635,0.8475894245723172,0,0.0,2.953343701399689,5.91601866251944,2.962674961119751,-0.39364091930188355,237,0.12286158631415241,243,0.12597200622083982,1449,0.7511664074650077,0.7786417833074132,0.5583203732503889
start_speed_band,low,0,3 <= start_speed <= 6,8208,2327,0.2835038986354776,1907,0.8195100988397078,0,0.0,2.6519123334765795,5.078642028362699,2.4267296948861197,-0.060020054433462255,522,0.2243231628706489,1214,0.5217017619252257,591,0.2539750752041255,0.056940266437473144,0.02191663085517834
start_speed_band,medium,1,7 <= start_speed <= 10,8208,4062,0.49488304093567254,3702,0.9113737075332349,0,0.0,3.056129985228951,5.48055145248646,2.4244214672575084,-0.2786530991848569,509,0.12530773018217628,1249,0.30748399803052684,2304,0.5672082717872969,0.3468461075551179,0.16445100935499754
start_speed_band,high,2,11 <= start_speed <= 14,8208,4155,0.5062134502923976,3885,0.9350180505415162,0,0.0,3.2548736462093864,5.703249097472924,2.448375451263538,-0.30421179302045726,273,0.06570397111913358,951,0.22888086642599278,2931,0.7054151624548737,0.5468912956277577,0.34873646209386283
brake_force,1,0,brake_force == 1,6156,1515,0.24610136452241715,1347,0.8891089108910891,0,0.0,3.5564356435643565,5.6033003300330035,2.046864686468647,-0.24745141180784744,176,0.11617161716171617,505,0.3333333333333333,834,0.5504950495049505,0.48382838283828383,0.4231023102310231
brake_force,2,1,brake_force == 2,6156,2666,0.4330734243014945,2411,0.904351087771943,0,0.0,3.2066766691672917,5.512753188297074,2.3060765191297823,-0.25206301575393847,215,0.08064516129032258,981,0.367966991747937,1470,0.5513878469617405,0.4456739184796199,0.31282820705176295
brake_force,3,2,brake_force == 3,6156,3117,0.5063352826510721,2814,0.9027911453320501,0,0.0,2.9043952518447225,5.471286493423163,2.566891241578441,-0.207179267814494,458,0.14693615656079564,963,0.3089509143407122,1696,0.5441129290984922,0.3527786689480626,0.1588065447545717
brake_force,4,3,brake_force == 4,6156,3246,0.5272904483430799,2922,0.9001848428835489,0,0.0,2.8093037584719656,5.402649414664202,2.593345656192237,-0.25967002122270144,455,0.14017252002464572,965,0.2972889710412816,1826,0.5625385089340728,0.24428356267542958,0.06099815157116451
goal_width,1,0,goal_width == 1,8208,3224,0.39278752436647174,2945,0.9134615384615384,0,0.0,3.1265508684863526,5.482009925558312,2.3554590570719602,-0.2558588365039978,408,0.12655086848635236,921,0.2856699751861042,1895,0.5877791563275434,0.3736559139784946,0.2196029776674938
goal_width,2,1,goal_width == 2,8208,3623,0.44139863547758285,3260,0.8998067899530776,0,0.0,3.033121722329561,5.477228815898426,2.444107093568866,-0.23387616156040114,460,0.12696660226331768,1209,0.33370135247032845,1954,0.5393320452663538,0.35917134357653263,0.2031465636213083
goal_width,3,2,goal_width == 3,8208,3697,0.45041423001949316,3289,0.8896402488504193,0,0.0,2.9862050311063024,5.4798485258317555,2.493643494725453,-0.233522676043639,436,0.11793345956180687,1284,0.3473086286177982,1977,0.5347579118203949,0.35374026988849816,0.19583446037327562
