mutation_id,family,family_index,operator,parameters_json,independent_oracle_detected,oracle_comparison_detected,trace_detected,signature_detected,trace_cases,trace_mismatches,signature_cases,signature_mismatches,affected_kernels,cache_hits,cache_misses,nontermination_guards,first_witness_json
agent_policy_000_c0ffce5c52,agent_policy,0,threshold_shift,"{""agent"":""friction_blind"",""threshold_shift"":-1}",1,1,1,1,9216,359,2304,264,81,0,0,0,"{""agent"":""friction_blind"",""difference"":{""observed_length"":3,""observed_step"":[[3,4,0,0],""brake"",""running""],""oracle_length"":3,""oracle_step"":[[3,4,0,0],""coast"",""running""],""step_index"":0},""family"":""agent_policy"",""kernel"":{""brake_force"":1,""friction"":0,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0000"",""start_position"":0,""start_speed"":3},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":62,""mutation_id"":""agent_policy_000_c0ffce5c52"",""observed_trace_sha256"":""1189924cc9b6c0efd1f55935ef6354fd91e9c36e9657456822b48050bf88d3c2"",""operator"":""threshold_shift"",""oracle_signature_mask"":42,""oracle_trace_sha256"":""9f9c2ae8a8d990ef3b4923626cdb1415dad2a614e8dadb3aa8931dedb72bee38"",""parameters"":{""agent"":""friction_blind"",""threshold_shift"":-1},""presentation"":{""delay"":0,""distance_mode"":""exact"",""name"":""view_00_exact_exact_d0"",""speed_mode"":""exact""},""replay_order"":""not_applicable"",""sample_rank"":0}"
agent_policy_001_90c1c2dd4e,agent_policy,1,flip_action_at_margin,"{""agent"":""friction_blind"",""margin"":2}",1,1,1,1,9216,672,2304,403,90,0,0,0,"{""agent"":""friction_blind"",""difference"":{""observed_length"":2,""observed_step"":[[3,1,0,0],""coast"",""overshoot""],""oracle_length"":3,""oracle_step"":[[3,1,0,0],""brake"",""running""],""step_index"":1},""family"":""agent_policy"",""kernel"":{""brake_force"":1,""friction"":0,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0000"",""start_position"":0,""start_speed"":3},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":62,""mutation_id"":""agent_policy_001_90c1c2dd4e"",""observed_trace_sha256"":""3b839408d6ddcb9f0d74be72e11ebbeaaddc3e547fe0d32c1c619b87bc0531ef"",""operator"":""flip_action_at_margin"",""oracle_signature_mask"":42,""oracle_trace_sha256"":""9f9c2ae8a8d990ef3b4923626cdb1415dad2a614e8dadb3aa8931dedb72bee38"",""parameters"":{""agent"":""friction_blind"",""margin"":2},""presentation"":{""delay"":0,""distance_mode"":""exact"",""name"":""view_00_exact_exact_d0"",""speed_mode"":""exact""},""replay_order"":""not_applicable"",""sample_rank"":0}"
agent_policy_002_2872f544de,agent_policy,2,flip_action_at_margin,"{""agent"":""instant_stop"",""margin"":2}",1,1,1,1,9216,494,2304,398,82,0,0,0,"{""agent"":""instant_stop"",""difference"":{""observed_length"":2,""observed_step"":[[3,1,0,0],""coast"",""overshoot""],""oracle_length"":3,""oracle_step"":[[3,1,0,0],""brake"",""running""],""step_index"":1},""family"":""agent_policy"",""kernel"":{""brake_force"":1,""friction"":0,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0000"",""start_position"":0,""start_speed"":3},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":59,""mutation_id"":""agent_policy_002_2872f544de"",""observed_trace_sha256"":""3b839408d6ddcb9f0d74be72e11ebbeaaddc3e547fe0d32c1c619b87bc0531ef"",""operator"":""flip_action_at_margin"",""oracle_signature_mask"":42,""oracle_trace_sha256"":""9f9c2ae8a8d990ef3b4923626cdb1415dad2a614e8dadb3aa8931dedb72bee38"",""parameters"":{""agent"":""instant_stop"",""margin"":2},""presentation"":{""delay"":0,""distance_mode"":""exact"",""name"":""view_00_exact_exact_d0"",""speed_mode"":""exact""},""replay_order"":""not_applicable"",""sample_rank"":0}"
agent_policy_003_4b585e934b,agent_policy,3,threshold_shift,"{""agent"":""reference"",""threshold_shift"":-3}",1,1,1,1,9216,1353,2304,1135,114,0,0,0,"{""agent"":""reference"",""difference"":{""observed_length"":3,""observed_step"":[[3,4,0,0],""brake"",""running""],""oracle_length"":3,""oracle_step"":[[3,4,0,0],""coast"",""running""],""step_index"":0},""family"":""agent_policy"",""kernel"":{""brake_force"":1,""friction"":0,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0000"",""start_position"":0,""start_speed"":3},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":47,""mutation_id"":""agent_policy_003_4b585e934b"",""observed_trace_sha256"":""1189924cc9b6c0efd1f55935ef6354fd91e9c36e9657456822b48050bf88d3c2"",""operator"":""threshold_shift"",""oracle_signature_mask"":42,""oracle_trace_sha256"":""9f9c2ae8a8d990ef3b4923626cdb1415dad2a614e8dadb3aa8931dedb72bee38"",""parameters"":{""agent"":""reference"",""threshold_shift"":-3},""presentation"":{""delay"":0,""distance_mode"":""exact"",""name"":""view_00_exact_exact_d0"",""speed_mode"":""exact""},""replay_order"":""not_applicable"",""sample_rank"":0}"
agent_policy_004_b7a6653ad9,agent_policy,4,threshold_shift,"{""agent"":""friction_blind"",""threshold_shift"":-2}",1,1,1,1,9216,772,2304,564,94,0,0,0,"{""agent"":""friction_blind"",""difference"":{""observed_length"":3,""observed_step"":[[3,4,0,0],""brake"",""running""],""oracle_length"":3,""oracle_step"":[[3,4,0,0],""coast"",""running""],""step_index"":0},""family"":""agent_policy"",""kernel"":{""brake_force"":1,""friction"":0,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0000"",""start_position"":0,""start_speed"":3},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":62,""mutation_id"":""agent_policy_004_b7a6653ad9"",""observed_trace_sha256"":""1189924cc9b6c0efd1f55935ef6354fd91e9c36e9657456822b48050bf88d3c2"",""operator"":""threshold_shift"",""oracle_signature_mask"":42,""oracle_trace_sha256"":""9f9c2ae8a8d990ef3b4923626cdb1415dad2a614e8dadb3aa8931dedb72bee38"",""parameters"":{""agent"":""friction_blind"",""threshold_shift"":-2},""presentation"":{""delay"":0,""distance_mode"":""exact"",""name"":""view_00_exact_exact_d0"",""speed_mode"":""exact""},""replay_order"":""not_applicable"",""sample_rank"":0}"
agent_policy_005_645f6458de,agent_policy,5,flip_action_at_margin,"{""agent"":""friction_blind"",""margin"":1}",1,1,1,1,9216,392,2304,283,73,0,0,0,"{""agent"":""friction_blind"",""difference"":{""observed_length"":3,""observed_step"":[[2,0,1,0],""coast"",""overshoot""],""oracle_length"":3,""oracle_step"":[[2,0,1,0],""brake"",""overshoot""],""step_index"":2},""family"":""agent_policy"",""kernel"":{""brake_force"":1,""friction"":0,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0000"",""start_position"":0,""start_speed"":3},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":62,""mutation_id"":""agent_policy_005_645f6458de"",""observed_trace_sha256"":""a63a52e64806faaf42fe567ac30f50bce54ae258b066fbf30d5fe11b7445b1f2"",""operator"":""flip_action_at_margin"",""oracle_signature_mask"":42,""oracle_trace_sha256"":""9f9c2ae8a8d990ef3b4923626cdb1415dad2a614e8dadb3aa8931dedb72bee38"",""parameters"":{""agent"":""friction_blind"",""margin"":1},""presentation"":{""delay"":0,""distance_mode"":""exact"",""name"":""view_00_exact_exact_d0"",""speed_mode"":""exact""},""replay_order"":""not_applicable"",""sample_rank"":0}"
agent_policy_006_b26f40fec9,agent_policy,6,flip_action_at_margin,"{""agent"":""reference"",""margin"":0}",1,1,1,1,9216,961,2304,715,106,0,0,0,"{""agent"":""reference"",""difference"":{""observed_length"":3,""observed_step"":[[3,3,0,0],""coast"",""running""],""oracle_length"":3,""oracle_step"":[[3,3,0,0],""brake"",""running""],""step_index"":0},""family"":""agent_policy"",""kernel"":{""brake_force"":1,""friction"":0,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0000"",""start_position"":0,""start_speed"":3},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":47,""mutation_id"":""agent_policy_006_b26f40fec9"",""observed_trace_sha256"":""234f005c85c1c73c53e8300ab4e590daaf411abe71a36c00721a846397b87bd7"",""operator"":""flip_action_at_margin"",""oracle_signature_mask"":42,""oracle_trace_sha256"":""134fc2a2048b0ed859431823fbdee03307851d1f8288fbc91440d5d15255834b"",""parameters"":{""agent"":""reference"",""margin"":0},""presentation"":{""delay"":0,""distance_mode"":""coarse"",""name"":""view_02_exact_coarse_d0"",""speed_mode"":""exact""},""replay_order"":""not_applicable"",""sample_rank"":0}"
agent_policy_007_596b55e27a,agent_policy,7,flip_action_at_margin,"{""agent"":""speed_only"",""margin"":1}",1,1,1,1,9216,1047,2304,415,78,0,0,0,"{""agent"":""speed_only"",""difference"":{""observed_length"":3,""observed_step"":[[4,4,0,0],""coast"",""running""],""oracle_length"":3,""oracle_step"":[[4,4,0,0],""brake"",""running""],""step_index"":0},""family"":""agent_policy"",""kernel"":{""brake_force"":1,""friction"":1,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0004"",""start_position"":0,""start_speed"":4},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":63,""mutation_id"":""agent_policy_007_596b55e27a"",""observed_trace_sha256"":""78f432d8ea7d4997126e4ecf4dfabd8c02d84b705a7c57b65d447723248ade14"",""operator"":""flip_action_at_margin"",""oracle_signature_mask"":31,""oracle_trace_sha256"":""ca220914f293caa0b0e7e9964f950626965aa1cf053ff12c94829b3801aa7a07"",""parameters"":{""agent"":""speed_only"",""margin"":1},""presentation"":{""delay"":0,""distance_mode"":""exact"",""name"":""view_00_exact_exact_d0"",""speed_mode"":""exact""},""replay_order"":""not_applicable"",""sample_rank"":1}"
agent_policy_008_1cf1eb5b18,agent_policy,8,flip_action_at_margin,"{""agent"":""speed_only"",""margin"":-2}",1,1,1,1,9216,453,2304,108,57,0,0,0,"{""agent"":""speed_only"",""difference"":{""observed_length"":4,""observed_step"":[[1,1,0,0],""brake"",""win""],""oracle_length"":5,""oracle_step"":[[1,1,0,0],""coast"",""running""],""step_index"":3},""family"":""agent_policy"",""kernel"":{""brake_force"":1,""friction"":0,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0000"",""start_position"":0,""start_speed"":3},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":42,""mutation_id"":""agent_policy_008_1cf1eb5b18"",""observed_trace_sha256"":""7f7f2cf5aa86f10613d3361560513c1f45e3a5d248846073e0ff4579fd8960e0"",""operator"":""flip_action_at_margin"",""oracle_signature_mask"":42,""oracle_trace_sha256"":""f49959a67f91dca7fd49e3c499c80d68b3a98a6dd9f496e8e3d84b3d8b717bac"",""parameters"":{""agent"":""speed_only"",""margin"":-2},""presentation"":{""delay"":1,""distance_mode"":""exact"",""name"":""view_01_exact_exact_d1"",""speed_mode"":""exact""},""replay_order"":""not_applicable"",""sample_rank"":0}"
agent_policy_009_c70bc2ceea,agent_policy,9,threshold_shift,"{""agent"":""instant_stop"",""threshold_shift"":-2}",1,1,1,1,9216,559,2304,359,92,0,0,0,"{""agent"":""instant_stop"",""difference"":{""observed_length"":3,""observed_step"":[[3,4,0,0],""brake"",""running""],""oracle_length"":3,""oracle_step"":[[3,4,0,0],""coast"",""running""],""step_index"":0},""family"":""agent_policy"",""kernel"":{""brake_force"":1,""friction"":0,""goal_end"":5,""goal_start"":4,""horizon"":8,""name"":""brake_0000"",""start_position"":0,""start_speed"":3},""kind"":""randomized_mutation_trace"",""mutant_signature_mask"":59,""mutation_id"":""agent_policy_009_c70bc2ceea"",""observed_trace_sha256"":""1189924cc9b6c0efd1f55935ef6354fd91e9c36e9657456822b48050bf88d3c2"",""operator"":""threshold_shift"",""oracle_signature_mask"":42,""oracle_trace_sha256"":""9f9c2ae8a8d990ef3b4923626cdb1415dad2a614e8dadb3aa8931dedb72bee38"",""parameters"":{""agent"":""instant_stop"",""threshold_shift"":-2},""presentation"":{""delay"":0,""distance_mode"":""exact"",""name"":""view_00_exact_exact_d0"",""speed_mode"":""exact""},""replay_order"":""not_applicable"",""sample_rank"":0}"
